media_type;environment;resource_data;sub_resource_day;sub_resource_daytime;request_rate_demanded;request_rate;min_reply_rate;avg_reply_rate;max_reply_rate;stddev_reply_rate;avg_response_time;avg_net_io;error_rate;sample_count_reply_rate;duration
1;2;1;0;0;20;20,0;19,6;20,0;20,4;0,2;44,7;171,1;0;59;300,000
1;2;1;0;0;30;30,0;28,9;30,0;30,8;0,3;71,5;256,5;0;59;300,000
1;2;1;0;0;40;40,0;38,8;40,0;41,4;0,6;112,0;342,1;0;59;300,000
1;2;1;0;0;50;49,7;0,0;6,2;53,8;15,6;321,4;21,0;708,189655172414;59;300,000
3;2;3;1;3;20;20,0;0,0;18,4;20,4;5,2;53,1;2580,9;8,26416456153013;59;300,000
3;2;3;1;3;30;30,0;29,2;30,0;30,8;0,2;73,1;4607,2;0;59;300,000
3;2;3;1;3;40;39,7;0,0;38,6;41,5;6,3;149,3;5924,0;3,03967027305513;59;300,000
3;2;3;1;3;50;49,7;0,0;5,6;57,7;15,0;291,8;207,4;784,433962264151;59;300,000
1;2;3;1;3;20;20,0;0,0;18,2;20,4;5,7;46,5;16,0;9,99083409715857;59;300,000
1;2;3;1;3;30;30,0;29,4;30,0;30,6;0,2;66,6;27,9;0;59;300,000
1;2;3;1;3;40;40,0;38,8;40,0;40,8;0,3;93,3;37,2;0;59;300,000
1;2;3;1;3;50;49,7;0,0;7,2;50,6;16,6;389,6;9,4;587,442713107241;59;300,000
3;2;3;1;2;20;20,0;0,0;17,9;20,6;6,1;51,1;2491,3;11,5448968209704;59;300,000
3;2;3;1;2;30;30,0;28,7;30,0;30,8;0,4;77,7;4594,3;0;59;300,000
3;2;3;1;2;40;40,0;37,1;40,0;42,3;0,7;110,3;6124,5;0,00833402783565297;59;300,000
3;2;3;1;2;50;49,7;0,0;6,0;58,2;15,3;306,8;239,3;744,11930219471;59;300,000
3;2;3;1;4;20;20,0;0,0;17,2;20,4;6,8;52,4;2433,9;16,1215405457712;59;300,000
3;2;3;1;4;30;30,0;28,9;30,0;31,0;0,3;79,3;4692,3;0;59;300,000
3;2;3;1;4;40;40,0;38,7;40,0;41,5;0,6;109,6;6255,4;0;59;300,000
3;2;3;1;4;50;49,7;0,0;5,9;50,0;15,1;308,9;238,5;739,86562150056;59;300,000
