media_type;environment;resource_data;sub_resource_day;sub_resource_daytime;request_rate_demanded;request_rate;min_reply_rate;avg_reply_rate;max_reply_rate;stddev_reply_rate;avg_response_time;avg_net_io;error_rate;sample_count_reply_rate;duration
3;1;3;1;4;12;11,9;8,1;11,9;13,8;0,6;79,0;1866,0;0,614868641699273;59;300,000
3;1;3;1;4;17;16,9;4,1;16,7;17,6;1,9;126,2;2601,7;1,57339175463055;59;300,000
3;1;3;1;4;22;21,9;0,0;4,8;22,2;8,6;679,0;455,1;354,858718125431;59;300,000
1;1;3;1;2;12;12,0;11,5;12,0;12,6;0,2;69,6;9,2;0;59;300,000
1;1;3;1;2;17;17,0;16,4;17,0;17,4;0,3;94,4;13,0;0;59;300,000
1;1;3;1;2;22;22,0;18,2;22,0;23,6;0,7;149,5;16,8;0;59;300,000
2;1;3;1;4;12;12,0;11,5;12,0;12,6;0,2;69,3;49,8;0;59;300,000
2;1;3;1;4;17;17,0;16,4;17,0;17,6;0,3;94,2;70,5;0;59;300,000
2;1;3;1;4;22;22,0;21,2;22,0;22,8;0,3;126,5;91,3;0;59;300,000
3;1;2;1;0;12;12,0;11,5;12,0;12,4;0,2;74,0;1946,5;0;59;300,000
3;1;2;1;0;17;17,0;16,4;17,0;17,8;0,3;100,8;2756,6;0;59;300,000
3;1;2;1;0;22;21,9;0,0;7,3;22,6;10,0;379,4;859,5;201,232314011867;59;300,000
1;1;3;1;4;12;12,0;11,6;12,0;12,4;0,2;68,5;28,0;0;59;300,000
1;1;3;1;4;17;17,0;15,0;17,0;18,8;0,4;96,8;39,6;0;59;300,000
1;1;3;1;4;22;22,0;21,1;22,0;22,8;0,3;134,6;51,3;0;59;300,000
1;1;2;2;0;12;12,0;11,4;12,0;12,4;0,2;69,7;53,7;0;59;300,000
1;1;2;2;0;17;17,0;16,3;17,0;17,8;0,3;98,2;76,1;0;59;300,000
1;1;2;2;0;22;22,0;0,0;10,7;25,8;11,0;173,3;41,9;103,20197044335;59;300,000
1;1;3;1;1;12;12,0;11,6;12,0;12,6;0,2;69,4;14,0;0;59;300,000
1;1;3;1;1;17;17,0;16,4;17,0;17,8;0,3;94,6;19,8;0;59;300,000
1;1;3;1;1;22;22,0;21,0;22,0;22,6;0,3;130,9;25,6;0;59;300,000
1;1;3;1;3;12;12,0;11,6;12,0;12,5;0,2;67,9;11,2;0;59;300,000
1;1;3;1;3;17;17,0;16,5;17,0;17,8;0,3;95,1;15,8;0;59;300,000
1;1;3;1;3;22;22,0;21,0;22,0;23,0;0,3;128,2;20,4;0;59;300,000
3;1;1;0;0;12;12,0;11,6;12,0;12,4;0,2;76,3;2073,0;0;59;300,000
3;1;1;0;0;17;17,0;16,2;17,0;17,4;0,3;109,2;2937,1;0;59;300,000
3;1;1;0;0;22;21,9;0,0;5,2;22,8;8,9;322,7;564,9;317,986067131096;59;300,000
1;1;1;0;0;12;12,0;11,4;12,0;12,6;0,2;67,3;102,7;0;59;300,000
1;1;1;0;0;17;17,0;16,3;17,0;17,8;0,3;94,9;145,4;0;59;300,000
1;1;1;0;0;22;22,0;20,6;22,0;23,8;0,5;132,1;188,2;0;59;300,000
2;1;2;1;0;12;12,0;11,7;12,0;12,4;0,2;70,3;96,8;0;59;300,000
2;1;2;1;0;17;17,0;16,5;17,0;17,8;0,3;97,4;137,1;0;59;300,000
2;1;2;1;0;22;22,0;20,9;22,0;23,6;0,4;127,8;177,4;0;59;300,000
1;1;2;1;0;12;12,0;11,5;12,0;12,4;0,2;68,9;52,5;0;59;300,000
1;1;2;1;0;17;17,0;16,2;17,0;17,6;0,3;98,2;74,3;0;59;300,000
1;1;2;1;0;22;22,0;17,2;22,0;24,4;0,8;177,4;96,2;0;59;300,000
2;1;1;0;0;12;12,0;2,8;11,4;12,6;2,0;107,9;165,1;5,35557506584723;59;300,000
2;1;1;0;0;17;17,0;6,0;16,8;19,6;1,7;141,6;266,5;1,21055765032745;59;300,000
2;1;1;0;0;22;22,0;21,2;22,0;22,8;0,4;127,0;348,9;0;59;300,000
