media_type;environment;resource_data;sub_resource_day;sub_resource_daytime;request_rate_demanded;request_rate;min_reply_rate;avg_reply_rate;max_reply_rate;stddev_reply_rate;avg_response_time;avg_net_io;error_rate;sample_count_reply_rate;duration
1;2;2;1;0;40;39,9;38,6;39,7;40,3;0,6;93,6;174,5;0;6;30,000
3;2;3;1;4;40;39,7;38,0;39,6;40,5;0,8;120,9;6209,1;0;6;30,000
2;2;3;1;4;40;39,8;39,2;39,8;41,0;0,6;97,6;165,4;0;6;30,000
1;2;3;1;4;40;37,7;0,0;16,0;38,9;18,4;396,7;38,9;144,399185336049;6;30,000
2;2;3;1;4;40;39,9;38,6;39,8;40,6;0,8;95,7;165,8;0;6;30,000
1;2;2;1;0;40;39,9;38,7;39,7;40,6;0,8;92,6;174,6;0;6;30,000
1;2;2;1;0;40;39,9;39,1;39,7;40,3;0,5;91,6;174,5;0;6;30,000
1;2;3;1;4;40;39,9;39,4;39,7;40,1;0,3;91,6;93,1;0;6;30,000
3;2;3;1;4;40;39,7;37,6;39,7;40,5;1,0;112,4;6217,0;0;6;30,000
2;2;2;1;0;40;39,9;39,2;39,7;40,3;0,4;95,8;322,0;0;6;30,000
3;2;1;0;0;35;34,8;33,8;34,8;35,1;0,5;91,2;6020,6;0;6;30,000
2;2;1;0;0;40;39,9;38,9;39,7;40,1;0,5;95,5;633,1;0;6;30,000
2;2;3;1;4;40;39,9;38,9;39,7;40,3;0,5;93,0;165,5;0;6;30,000
1;2;1;0;0;40;39,9;38,7;39,7;40,3;0,6;93,1;341,6;0;6;30,000
3;2;3;1;4;40;39,8;38,4;39,7;40,6;0,8;123,8;6226,2;0;6;30,000
1;2;2;1;0;40;39,9;39,0;39,7;40,3;0,5;93,0;174,5;0;6;30,000
1;2;2;1;0;40;39,9;38,6;39,8;40,3;0,7;92,9;174,4;0;6;30,000
1;2;1;0;0;40;39,9;38,5;39,7;40,1;0,7;92,3;341,1;0;6;30,000
3;2;3;1;4;40;39,6;37,2;39,5;40,6;1,3;123,3;6196,7;0;6;30,000
2;2;2;1;0;40;39,9;38,6;39,8;40,3;0,7;90,3;322,1;0;6;30,000
3;2;2;1;0;35;34,8;33,0;34,7;35,1;0,9;92,9;5651,6;0;6;30,000
3;2;1;0;0;35;34,9;33,8;34,8;35,2;0,6;92,4;6025,8;0;6;30,000
2;2;1;0;0;40;39,9;38,6;39,7;40,3;0,7;96,1;633,0;0;6;30,000
3;2;1;0;0;35;34,8;33,8;34,8;35,7;0,7;95,4;6015,6;0;6;30,000
2;2;1;0;0;40;39,9;38,5;39,7;40,3;0,7;90,8;633,2;0;6;30,000
3;2;3;1;4;40;39,7;38,2;39,7;40,6;0,9;130,9;6217,3;0;6;30,000
3;2;2;1;0;35;34,7;33,0;34,7;35,7;1,0;99,4;5631,0;0;6;30,000
1;2;1;0;0;40;39,9;38,9;39,7;40,3;0,5;95,2;341,1;0;6;30,000
1;2;3;1;4;40;39,9;39,5;39,7;40,3;0,3;92,3;93,0;0;6;30,000
1;2;3;1;4;40;39,9;39,1;39,6;40,6;0,5;98,8;93,0;0;6;30,000
3;2;1;0;0;35;33,2;0,8;21,8;35,0;14,8;461,4;3763,1;52,3947750362845;6;30,000
2;2;1;0;0;40;39,9;38,8;39,8;40,6;0,6;97,0;632,5;0;6;30,000
3;2;3;1;4;40;39,6;37,7;39,5;40,5;1,0;129,7;6201,6;0;6;30,000
1;2;3;1;4;40;39,9;39,5;39,8;40,4;0,4;93,4;93,1;0;6;30,000
3;2;1;0;0;35;34,8;33,8;34,7;35,1;0,5;96,2;6014,6;0;6;30,000
3;2;3;1;4;40;39,6;37,8;39,6;41,1;1,3;135,2;6204,5;0;6;30,000
1;2;2;1;0;40;39,9;39,2;39,7;40,8;0,7;107,9;174,6;0;6;30,000
1;2;3;1;4;40;39,9;38,6;39,8;40,5;0,9;99,7;93,1;0;6;30,000
3;2;2;1;0;35;34,8;33,8;34,8;35,5;0,6;97,8;5647,5;0;6;30,000
1;2;3;1;4;40;39,9;39,3;39,8;40,3;0,4;92,4;93,0;0;6;30,000
3;2;3;1;4;40;39,7;38,1;39,6;40,5;0,8;116,1;6207,7;0;6;30,000
3;2;3;1;4;40;39,7;37,6;39,6;40,9;1,3;110,9;6218,3;0;6;30,000
1;2;2;1;0;40;39,9;39,2;39,7;40,1;0,4;92,6;174,7;0;6;30,000
3;2;1;0;0;35;34,6;33,1;34,5;35,4;1,0;95,0;5986,9;0;6;30,000
2;2;1;0;0;40;39,9;39,0;39,8;40,6;0,6;97,7;633,6;0;6;30,000
2;2;1;0;0;40;39,9;38,6;39,8;40,6;0,7;92,1;632,3;0;6;30,000
2;2;3;1;4;40;39,9;39,2;39,7;40,3;0,5;92,6;165,7;0;6;30,000
2;2;1;0;0;40;39,9;39,0;39,7;40,1;0,5;91,8;632,9;0;6;30,000
3;2;1;0;0;35;34,8;33,8;34,7;35,5;0,7;101,8;6006,9;0;6;30,000
2;2;3;1;4;40;39,9;38,6;39,8;40,5;0,8;96,5;165,4;0;6;30,000
1;2;1;0;0;40;39,9;39,4;39,7;40,1;0,3;91,2;341,3;0;6;30,000
1;2;2;1;0;40;39,9;38,6;39,7;40,3;0,7;95,5;174,4;0;6;30,000
3;2;3;1;4;40;39,6;38,0;39,6;40,8;1,0;126,2;6196,5;0;6;30,000
1;2;2;1;0;40;39,9;39,0;39,7;40,3;0,5;92,9;174,5;0;6;30,000
1;2;2;1;0;40;39,9;39,0;39,7;40,3;0,5;92,4;174,5;0;6;30,000
2;2;3;1;4;40;39,9;39,1;39,7;40,1;0,4;90,1;165,6;0;6;30,000
2;2;3;1;4;40;39,9;39,4;39,8;40,5;0,5;91,7;165,7;0;6;30,000
1;2;2;1;0;40;39,9;38,5;39,9;41,0;0,9;99,8;174,5;0;6;30,000
2;2;1;0;0;40;39,9;38,6;39,8;40,4;0,7;95,3;633,6;0;6;30,000
2;2;2;1;0;40;39,9;39,1;39,7;40,1;0,4;97,2;321,9;0;6;30,000
3;2;3;1;4;40;39,8;37,6;39,6;40,9;1,3;114,9;6224,5;0;6;30,000
3;2;2;1;0;35;34,8;33,4;34,7;35,8;0,8;104,5;5645,3;0;6;30,000
1;2;2;1;0;40;39,9;38,6;39,7;40,1;0,7;93,2;174,4;0;6;30,000
3;2;2;1;0;35;34,8;33,0;34,6;35,1;0,9;95,0;5651,9;0;6;30,000
2;2;3;1;4;40;39,9;38,6;39,8;40,5;0,8;95,3;165,6;0;6;30,000
3;2;2;1;0;35;34,7;33,6;34,6;35,8;0,7;107,8;5635,8;0;6;30,000
3;2;1;0;0;35;34,9;33,6;34,8;35,9;0,9;89,8;6027,8;0;6;30,000
1;2;2;1;0;40;39,9;39,0;39,8;40,5;0,7;97,2;174,5;0;6;30,000
3;2;1;0;0;35;34,8;33,8;34,7;35,1;0,5;96,9;6017,9;0;6;30,000
2;2;2;1;0;40;39,9;13,4;26,5;48,4;16,5;735,0;234,7;38,0897583429229;6;30,000
3;2;2;1;0;35;34,8;33,7;34,6;35,3;0,6;105,7;5639,5;0;6;30,000
3;2;3;1;4;40;39,7;37,6;39,6;40,5;1,0;111,9;6206,4;0;6;30,000
3;2;2;1;0;35;34,7;33,4;34,7;35,6;0,8;103,3;5633,4;0;6;30,000
2;2;2;1;0;40;39,9;38,6;39,8;40,8;1,0;106,6;322,1;0;6;30,000
2;2;1;0;0;40;39,9;38,8;39,7;40,3;0,6;93,6;632,6;0;6;30,000
1;2;1;0;0;40;39,9;38,3;39,7;40,3;0,8;93,7;341,5;0;6;30,000
2;2;3;1;4;40;39,9;39,2;39,8;40,8;0,7;96,8;165,6;0;6;30,000
3;2;3;1;4;40;39,7;38,4;39,6;40,2;0,7;119,5;6209,9;0;6;30,000
2;2;1;0;0;40;39,9;39,0;39,7;40,3;0,5;94,9;633,0;0;6;30,000
2;2;2;1;0;40;39,9;37,9;39,8;40,9;1,2;104,8;322,1;0;6;30,000
2;2;2;1;0;40;39,9;38,7;39,7;40,3;0,6;94,2;321,7;0;6;30,000
2;2;3;1;4;40;39,9;39,2;39,8;40,3;0,5;90,5;165,8;0;6;30,000
1;2;1;0;0;40;39,9;38,6;39,9;40,6;0,8;92,6;341,2;0;6;30,000
3;2;2;1;0;35;34,8;33,1;34,7;35,5;0,8;104,9;5644,2;0;6;30,000
1;2;2;1;0;40;39,9;38,7;39,7;40,3;0,6;95,0;174,3;0;6;30,000
1;2;2;1;0;40;39,9;39,4;39,8;40,2;0,4;100,0;174,6;0;6;30,000
1;2;3;1;4;40;39,9;38,9;39,9;41,0;0,9;103,6;92,9;0;6;30,000
3;2;2;1;0;35;34,8;33,6;34,7;35,7;0,8;95,7;5652,0;0;6;30,000
3;2;3;1;4;40;39,7;38,4;39,5;41,1;0,9;115,6;6207,6;0;6;30,000
2;2;2;1;0;40;37,8;27,8;37,7;40,3;4,9;148,9;299,1;1,95412064570943;6;30,000
