media_type;environment;resource_data;sub_resource_day;sub_resource_daytime;request_rate_demanded;request_rate;min_reply_rate;avg_reply_rate;max_reply_rate;stddev_reply_rate;avg_response_time;avg_net_io;error_rate;sample_count_reply_rate;duration
2;2;1;0;0;40;39,9;38,5;39,7;40,3;0,7;92,3;633,0;0;6;30,000
2;2;2;1;0;40;39,9;39,2;39,7;40,4;0,5;95,1;322,3;0;6;30,000
1;2;2;1;0;40;39,9;38,6;39,8;40,3;0,7;100,7;174,6;0;6;30,000
3;2;3;1;4;40;39,8;37,9;39,7;41,3;1,4;99,9;6226,9;0;6;30,000
1;2;1;0;0;40;39,9;39,3;39,7;40,3;0,4;96,9;341,1;0;6;30,000
3;2;1;0;0;35;34,9;33,9;34,7;36,1;0,9;94,5;6026,2;0;6;30,000
3;2;1;0;0;35;34,8;33,1;34,8;36,9;1,3;99,5;6018,6;0;6;30,000
2;2;1;0;0;40;39,8;38,2;39,4;40,5;1,1;163,5;631,7;0;6;30,000
2;2;3;1;4;40;39,9;39,5;39,7;40,1;0,2;77,1;165,6;0;6;30,000
1;2;2;1;0;40;39,9;39,2;39,8;41,2;0,8;106,5;174,7;0;6;30,000
2;2;3;1;4;40;39,9;39,4;39,8;40,0;0,3;91,8;165,7;0;6;30,000
1;2;3;1;4;40;39,9;39,4;39,8;40,3;0,4;82,3;93,1;0;6;30,000
1;2;1;0;0;40;39,9;39,4;39,8;40,3;0,4;97,3;341,5;0;6;30,000
2;2;3;1;4;40;39,9;39,4;39,8;40,3;0,3;92,3;165,4;0;6;30,000
3;2;1;0;0;35;34,9;33,8;34,8;35,1;0,6;96,8;6023,7;0;6;30,000
2;2;3;1;4;40;39,9;39,1;39,9;40,6;0,6;80,4;165,8;0;6;30,000
2;2;2;1;0;40;39,9;34,8;39,8;44,0;3,3;135,6;322,1;0;6;30,000
2;2;3;1;4;40;39,9;39,6;39,8;40,1;0,2;78,8;165,6;0;6;30,000
1;2;2;1;0;40;39,9;38,9;39,8;40,3;0,5;94,4;174,4;0;6;30,000
2;2;1;0;0;40;39,8;38,0;39,8;41,3;1,2;158,3;632,1;0;6;30,000
1;2;2;1;0;40;39,9;39,3;39,8;40,5;0,4;93,5;174,5;0;6;30,000
1;2;2;1;0;40;39,9;39,1;39,8;40,1;0,4;90,3;174,5;0;6;30,000
3;2;1;0;0;35;34,8;33,6;34,8;35,3;0,6;98,5;6015,3;0;6;30,000
1;2;3;1;4;40;39,9;39,2;39,8;40,6;0,5;82,3;93,0;0;6;30,000
1;2;2;1;0;40;39,9;39,2;39,7;40,1;0,4;93,5;174,6;0;6;30,000
3;2;3;1;4;40;39,8;38,6;39,7;40,1;0,6;93,3;6228,6;0;6;30,000
2;2;2;1;0;40;39,9;36,7;39,9;42,3;2,0;98,2;321,9;0;6;30,000
2;2;1;0;0;40;39,8;38,8;39,7;40,6;0,6;134,1;632,2;0;6;30,000
3;2;1;0;0;35;34,9;33,8;34,7;35,1;0,6;99,7;6025,9;0;6;30,000
3;2;3;1;4;40;39,7;38,7;39,6;40,1;0,6;98,8;6212,5;0;6;30,000
2;2;1;0;0;40;39,9;38,9;39,8;40,6;0,6;103,3;632,6;0;6;30,000
2;2;3;1;4;40;39,9;39,1;39,8;40,3;0,5;80,6;165,8;0;6;30,000
1;2;2;1;0;40;39,9;38,6;39,8;40,3;0,7;89,3;174,4;0;6;30,000
1;2;1;0;0;40;39,9;38,9;39,8;41,2;0,8;102,7;341,1;0;6;30,000
3;2;2;1;0;35;34,8;33,8;34,8;35,8;0,7;94,6;5647,7;0;6;30,000
3;2;3;1;4;40;39,9;38,4;39,7;40,2;0,8;97,2;6238,5;0;6;30,000
1;2;2;1;0;40;39,9;38,8;39,7;40,3;0,6;90,1;174,4;0;6;30,000
1;2;2;1;0;40;39,9;38,8;39,7;40,6;0,7;104,9;174,5;0;6;30,000
3;2;2;1;0;35;34,8;34,0;34,7;36,0;0,7;113,6;5640,2;0;6;30,000
3;2;2;1;0;35;34,8;33,9;34,7;35,5;0,6;86,3;5649,9;0;6;30,000
1;2;1;0;0;40;39,9;39,1;39,7;40,3;0,5;95,3;341,3;0;6;30,000
3;2;3;1;4;40;39,8;38,7;39,7;40,1;0,6;99,9;6231,9;0;6;30,000
1;2;3;1;4;40;39,9;39,0;39,8;40,3;0,5;83,4;93,0;0;6;30,000
3;2;1;0;0;35;34,8;33,7;34,8;35,6;0,7;93,1;6020,2;0;6;30,000
2;2;2;1;0;40;39,9;38,5;39,7;40,1;0,6;90,1;321,7;0;6;30,000
3;2;2;1;0;35;34,8;33,8;34,7;35,2;0,6;90,5;5644,2;0;6;30,000
3;2;1;0;0;35;34,8;33,8;34,8;35,5;0,7;88,6;6020,7;0;6;30,000
2;2;1;0;0;40;39,9;38,9;39,8;40,3;0,6;92,9;632,9;0;6;30,000
3;2;1;0;0;35;34,9;33,8;34,8;35,8;0,7;95,0;6023,4;0;6;30,000
2;2;1;0;0;40;39,9;38,0;39,8;40,8;1,1;100,1;632,4;0;6;30,000
3;2;3;1;4;40;39,8;38,4;39,7;40,3;0,8;93,8;6230,8;0;6;30,000
3;2;2;1;0;35;34,8;33,8;34,8;35,1;0,6;89,8;5650,7;0;6;30,000
3;2;2;1;0;35;34,8;33,8;34,8;35,1;0,6;91,6;5650,4;0;6;30,000
1;2;1;0;0;40;39,9;38,9;39,8;40,3;0,6;94,3;341,1;0;6;30,000
1;2;3;1;4;40;39,9;39,3;39,8;40,1;0,3;82,2;93,0;0;6;30,000
1;2;3;1;4;40;39,9;39,1;39,8;40,3;0,5;79,4;93,0;0;6;30,000
2;2;1;0;0;40;39,9;38,4;39,7;40,1;0,7;152,7;632,7;0;6;30,000
